01-01 07:22:20.729+0530 I/BLE_DEMO_TV(P11389, T11389): wireless_tagging_main.c:67 ----> RSSI CB: rssi -70, status 1, mac [54:B8:02:83:10:3A]
01-01 07:22:22.369+0530 I/BLE_DEMO_TV(P11389, T11389): wireless_tagging_main.c:67 ----> RSSI CB: rssi -71, status 1, mac [54:B8:02:83:10:3A]
01-01 07:22:23.191+0530 I/BLE_DEMO_TV(P11389, T11389): wireless_tagging_main.c:67 ----> RSSI CB: rssi -73, status 1, mac [54:B8:02:83:10:3A]
01-01 07:22:24.155+0530 I/BLE_DEMO_TV(P11389, T11389): wireless_tagging_main.c:67 ----> RSSI CB: rssi -77, status 1, mac [54:B8:02:83:10:3A]
01-01 07:22:27.019+0530 I/BLE_DEMO_TV(P11389, T11389): wireless_tagging_main.c:67 ----> RSSI CB: rssi -75, status 1, mac [54:B8:02:83:10:3A]
01-01 07:22:28.640+0530 I/BLE_DEMO_TV(P11389, T11389): wireless_tagging_main.c:67 ----> RSSI CB: rssi -73, status 1, mac [54:B8:02:83:10:3A]
01-01 07:22:29.049+0530 I/BLE_DEMO_TV(P11389, T11389): wireless_tagging_main.c:67 ----> RSSI CB: rssi -72, status 1, mac [54:B8:02:83:10:3A]
01-01 07:22:30.258+0530 I/BLE_DEMO_TV(P11389, T11389): wireless_tagging_main.c:67 ----> RSSI CB: rssi -72, status 1, mac [54:B8:02:83:10:3A]
01-01 07:22:30.938+0530 I/BLE_DEMO_TV(P11389, T11389): wireless_tagging_main.c:67 ----> RSSI CB: rssi -72, status 1, mac [54:B8:02:83:10:3A]
01-01 07:22:31.477+0530 I/BLE_DEMO_TV(P11389, T11389): wireless_tagging_main.c:67 ----> RSSI CB: rssi -74, status 1, mac [54:B8:02:83:10:3A]
01-01 07:22:32.038+0530 I/BLE_DEMO_TV(P11389, T11389): wireless_tagging_main.c:67 ----> RSSI CB: rssi -75, status 1, mac [54:B8:02:83:10:3A]
01-01 07:22:32.861+0530 I/BLE_DEMO_TV(P11389, T11389): wireless_tagging_main.c:67 ----> RSSI CB: rssi -74, status 1, mac [54:B8:02:83:10:3A]
01-01 07:22:33.561+0530 I/BLE_DEMO_TV(P11389, T11389): wireless_tagging_main.c:67 ----> RSSI CB: rssi -73, status 1, mac [54:B8:02:83:10:3A]
01-01 07:22:33.683+0530 I/BLE_DEMO_TV(P11389, T11389): wireless_tagging_main.c:67 ----> RSSI CB: rssi -73, status 1, mac [54:B8:02:83:10:3A]
01-01 07:22:34.787+0530 I/BLE_DEMO_TV(P11389, T11389): wireless_tagging_main.c:67 ----> RSSI CB: rssi -76, status 1, mac [54:B8:02:83:10:3A]
01-01 07:22:35.468+0530 I/BLE_DEMO_TV(P11389, T11389): wireless_tagging_main.c:67 ----> RSSI CB: rssi -76, status 1, mac [54:B8:02:83:10:3A]
01-01 07:22:35.599+0530 I/BLE_DEMO_TV(P11389, T11389): wireless_tagging_main.c:67 ----> RSSI CB: rssi -74, status 1, mac [54:B8:02:83:10:3A]
01-01 07:22:36.563+0530 I/BLE_DEMO_TV(P11389, T11389): wireless_tagging_main.c:67 ----> RSSI CB: rssi -72, status 1, mac [54:B8:02:83:10:3A]
01-01 07:22:36.846+0530 I/BLE_DEMO_TV(P11389, T11389): wireless_tagging_main.c:67 ----> RSSI CB: rssi -71, status 1, mac [54:B8:02:83:10:3A]
01-01 07:22:37.105+0530 I/BLE_DEMO_TV(P11389, T11389): wireless_tagging_main.c:67 ----> RSSI CB: rssi -71, status 1, mac [54:B8:02:83:10:3A]
